Date	Y	X	Z	RASTERVALU	Tiefe [km]	Magnitude	Epizentrum
15.09.2005	50.783	6.54	-9456.01	143.99	9.6	0.3	ROMMELSHEIM
15.10.2002	50.884	6.26	-8669.48	130.52	8.8	0.8	ALSDORF
15.10.2006	50.899	6.553	-10125.71	-25.71	10.1	1.3	ETZWEILER
15.11.2010	50.855	6.255	-10851.5	148.5	11	0.8	NW. ESCHWEILER
15.12.2016	50.916	6.071	-13673.02	126.98	13.8	1.6	RIMBURG
16.01.1989	50.932	6.149	-2674.04	125.96	2.8	2	UEBACH-PALENBERG
16.01.1995	50.905	6.131	-13257.03	142.97	13.4	2.5	UEBACH-PALENBERG
16.04.1992	50.859	6.243	-10650.73	149.27	10.8	1.4	ALSDORF
16.04.1992	50.836	6.266	-13833.04	166.96	14	1.5	DURWISS
16.04.1992	50.832	6.239	-15926.66	173.34	16.1	1.2	ESCHWEILER
16.04.2003	50.874	6.192	-14243.83	156.17	14.4	2.4	ALSDORF
16.04.2011	50.852	5.989	-13810.64	189.36	14	0.9	E. SIMPELVELD
16.04.2017	50.784	6.287	-12781.55	218.45	13	0.5	WERTH
16.05.2007	50.715	6.189	-14520.76	279.24	14.8	0.4	WALHEIM
16.06.1984	50.82	6.308	-9877.58	122.42	10	1.2	ESCHWEILER
16.06.1989	50.866	6.213	-14053.85	146.15	14.2	1.8	E. ALSDORF
16.06.2010	50.914	6.281	101.73	101.73	0	0.8	NW. ALDENHOVEN
16.06.2013	50.712	6.296	-2350.34	349.66	2.7	0.5	SE. ZWEIFALL
16.06.2013	50.707	6.297	-4915.08	384.92	5.3	0.9	E. ZWEIFALL
16.06.2013	50.706	6.289	-5591.09	308.91	5.9	0.8	SE. ZWEIFALL
16.07.2018	50.829	6.509	-13776.09	123.91	13.9	0.8	MERZENICH
16.08.2004	50.865	6.28	-9970.87	129.13	10.1	1.2	ALSDORF
16.09.2016	50.884	6.543	-5025.57	74.43	5.1	0.5	S. ELSDORF
16.11.1994	50.786	6.093	-11021.84	178.16	11.2	1	AACHEN
17.02.2005	50.854	6.27	-5472.79	127.21	5.6	0.5	DUERWISS
17.03.2002	50.78	6.26	-12549.73	250.27	12.8	0.9	E. STOLBERG
17.03.2002	50.789	6.315	-9379.72	220.28	9.6	3.5	E. STOLBERG
17.03.2003	50.893	6.526	-576.23	-76.23	0.5	0.8	OESTL. OBERZIER
17.04.1992	50.846	6.27	-11343.33	156.67	11.5	0.9	DURWISS
17.04.1992	50.877	6.185	-5151.78	148.22	5.3	1.3	ALSDORF
17.04.1992	50.879	6.185	-5452.62	147.38	5.6	1.2	ALSDORF
17.05.1992	50.876	6.251	-15467.01	132.99	15.6	2.1	ALSDORF
17.05.2016	50.809	6.216	-16580.02	219.98	16.8	0.8	W. ESCHWEILER
17.06.2004	50.928	6.475	-1672.66	227.34	1.9	1.4	E. STETTERNICH
17.06.2010	50.757	6.364	-10912.34	287.66	11.2	0.9	HUERTGENWALD
17.07.2004	50.899	6.222	-14775.72	124.28	14.9	2.9	ALSDORF
17.08.1993	50.847	6.232	-18442.95	157.05	18.6	2	ALSDORF
17.09.2012	50.712	6.268	-4530.08	269.92	4.8	0.7	ZWEIFALL
17.09.2016	50.894	6.545	-8806.37	-6.37	8.8	1.2	S. ELSDORF
17.10.2010	50.842	6.234	-12343.32	156.68	12.5	1.3	ALSDORF
17.11.2014	50.743	6.274	-18538.61	261.39	18.8	0.2	S. STOLBERG
17.12.1978	50.804	6.206	-2880.54	219.46	3.1	1.7	N. STOLBERG
18.01.2009	50.897	6.488	-4713.1	-13.1	4.7	1.2	HAMBACH
18.01.2017	50.718	6.241	-3684.17	315.83	4	0.2	ZWEIFALL
18.03.2002	50.785	6.259	-13244.76	255.24	13.5	0.7	E. STOLBERG
18.05.2013	50.949	6.431	-2605.61	94.39	2.7	1.5	WELLDORF
18.06.2013	50.85	6.199	-15020.73	179.27	15.2	1.2	ALSDORF BEGAU
18.07.2004	50.903	6.237	-13582.73	117.27	13.7	2.1	ALSDORF
18.07.2004	50.908	6.252	-13592.85	107.15	13.7	0.7	ALSDORF
18.07.2004	50.893	6.223	-13467.53	132.47	13.6	1.4	ALSDORF
18.07.2006	50.704	6.306	-6790.2	409.8	7.2	0.1	RAFFELSBRAND
18.07.2015	50.922	6.433	-4946.67	153.33	5.1	0.7	JUELICH
18.08.2004	50.919	6.46	-4374.93	225.07	4.6	0.7	E. STETTERNICH
18.08.2011	50.811	6.209	-8192.66	207.34	8.4	0.9	N STOLBERG
18.10.2009	50.741	6.294	-5078.38	321.62	5.4	0.2	MAUSBACH
18.11.1991	50.759	6.433	-16210.06	189.94	16.4	1	SW. DUEREN
18.11.2004	50.906	6.231	-14880.44	119.56	15	1.7	ALSDORF
19.01.1987	50.823	6.3	-13069.9	130.1	13.2	1.8	ESCHWEILER
19.02.2009	50.763	6.26	-12206.21	293.79	12.5	0.7	STOLBERG
19.03.1984	50.839	6.27	-12836.47	163.53	13	1.3	DUERWISS
19.04.2016	50.71	6.272	-15226.54	273.46	15.5	0.9	ZWEIFALL
19.06.1994	50.918	6.098	-11096.37	103.63	11.2	1.2	UEBACH-PALENBERG
19.07.2011	50.833	6.236	-15125.82	174.18	15.3	1.3	ESCHWEILER
19.07.2014	50.719	6.156	-24116.65	283.35	24.4	0.5	OBERFORSTBACH
19.07.2016	50.784	6.211	-19921.8	178.2	20.1	0.6	STOLBERG
19.10.1987	50.741	6.045	-18126.34	273.66	18.4	-	SW. AACHEN
19.10.2012	50.706	6.275	-6962.77	337.23	7.3	0.9	ZWEIFALL
19.11.1992	50.838	6.251	-15334.38	165.62	15.5	1.9	KINZWEILER
19.11.2012	50.832	6.263	-12930.01	169.99	13.1	0.7	ESCHWEILER
20.01.1986	50.951	6.425	-6704.08	95.92	6.8	1.6	WELLDORF
20.01.1987	50.799	6.273	-15438.8	161.2	15.6	1.1	ESCHWEILER
20.01.1987	50.831	6.265	-8230.57	169.43	8.4	1.4	ESCHWEILER
20.01.2007	50.893	6.542	-1003.97	-3.97	1	1.9	S. ETZWEILER
20.01.2007	50.888	6.546	-1027.06	72.94	1.1	1.3	S. ETZWEILER
